token,rating,date,version,used_count
very,5,2020-11-16,9.2,13
very,5,2020-11-16,,1
very,5,2020-11-16,,1
very,5,2020-10-19,9.2,1
very,5,2020-10-19,9.0,2
very,5,2020-11-05,9.2,2
very,5,2020-11-05,,1
very,5,2020-11-05,,1
very,5,2020-11-04,9.2,2
very,5,2020-11-04,,1
very,5,2020-10-29,9.2,1
very,5,2020-10-29,,1
very,5,2020-10-20,9.2,5
very,5,2020-10-20,9.0,1
very,5,2020-10-20,,1
very,5,2020-10-09,9.0,2
very,5,2020-11-03,9.2,5
very,5,2020-11-08,9.2,3
very,5,2020-10-23,9.2,5
very,5,2020-10-23,,1
very,5,2020-11-14,9.2,1
very,5,2020-11-14,,1
very,5,2020-10-14,9.0,1
very,5,2020-10-14,,2
very,5,2020-10-14,,1
very,5,2020-11-13,9.2,2
very,5,2020-11-11,9.2,2
very,5,2020-11-11,,1
very,5,2020-11-02,9.2,5
very,5,2020-11-02,,2
very,5,2020-10-30,9.2,5
very,5,2020-10-30,,1
very,5,2020-11-15,9.2,5
very,5,2020-10-15,9.0,6
very,5,2020-10-21,9.2,4
very,5,2020-10-21,9.0,1
very,5,2020-10-21,,1
very,5,2020-10-21,,1
very,5,2020-11-07,9.2,6
very,5,2020-10-17,9.0,5
very,5,2020-10-16,9.0,2
very,5,2020-10-16,,1
very,5,2020-10-10,9.0,2
very,5,2020-10-10,,1
very,5,2020-10-25,9.2,5
very,5,2020-10-25,,1
very,5,2020-10-25,,1
very,5,2020-10-11,9.0,3
very,5,2020-10-11,,2
very,5,2020-10-22,9.2,2
very,5,2020-10-22,9.0,1
very,5,2020-10-22,,1
very,5,2020-10-13,9.0,2
very,5,2020-10-13,,1
very,5,2020-10-13,,2
very,5,2020-10-31,9.2,2
very,5,2020-10-31,,1
very,5,2020-11-06,,3
very,5,2020-11-06,,2
very,5,2020-11-06,,1
very,5,2020-11-06,,2
very,5,2020-09-21,9.0,4
very,5,2020-09-21,,1
very,5,2020-09-22,,1
very,5,2020-09-22,9.0,1
very,5,2020-09-22,,2
very,5,2020-06-09,,1
very,5,2020-06-09,8.8,1
very,5,2020-07-03,,1
very,5,2020-07-03,8.8,7
very,5,2020-07-03,,1
very,5,2020-10-18,9.0,2
very,5,2020-10-18,,1
very,5,2020-07-24,,1
very,5,2020-07-24,8.8,4
very,5,2020-09-16,9.0,9
very,5,2020-08-09,8.8,3
very,5,2020-08-21,8.8,1
very,5,2020-09-26,9.0,2
very,5,2020-06-20,8.8,4
very,5,2020-11-12,9.2,3
very,5,2020-04-07,,1
very,5,2020-04-07,8.7,4
very,5,2020-07-12,8.8,5
very,5,2020-07-12,,2
very,5,2020-09-06,9.0,1
very,5,2020-09-06,,1
very,5,2020-01-26,,3
very,5,2020-01-26,8.2,1
very,5,2020-01-26,,1
very,5,2020-09-15,9.0,1
very,5,2020-08-23,8.8,2
very,5,2019-08-13,7.7,3
very,5,2019-08-13,,1
very,5,2020-08-04,,3
very,5,2020-08-04,8.8,1
very,5,2020-08-04,,1
very,5,2019-12-06,8.2,1
very,5,2020-09-02,9.0,8
very,5,2020-09-02,,1
very,5,2020-04-16,8.7,5
very,5,2020-04-16,,1
very,5,2020-09-19,9.0,3
very,5,2020-09-19,,1
very,5,2020-09-19,,1
very,5,2020-06-23,8.8,3
very,5,2020-07-13,8.8,3
very,5,2020-07-13,,1
very,5,2020-07-26,8.8,1
very,5,2020-08-28,,4
very,5,2019-12-19,,1
very,5,2019-12-19,8.2,6
very,5,2020-07-01,8.8,3
very,5,2020-05-10,,1
very,5,2020-05-10,8.8,3
very,5,2020-09-23,9.0,5
very,5,2020-06-15,8.8,4
very,5,2020-06-25,8.8,6
very,5,2020-03-30,8.7,8
very,5,2020-03-30,8.2,1
very,5,2020-07-29,,1
