word_token,upvote_sum,rating,word_rep_count,user_count
app,6588,5,5310,4670
nice,1985,5,3279,3260
good,2208,5,2865,2788
very,3195,5,1566,1371
this,3925,5,1172,965
money,2505,5,1103,1011
best,2412,5,863,829
and,9960,5,725,524
earning,873,5,686,672
for,4278,5,597,550
super,259,5,593,590
the,9464,5,570,384
but,2249,5,435,387
earn,1187,5,411,386
you,8275,5,377,263
aap,74,5,346,313
application,400,5,295,271
really,1330,5,269,252
not,653,5,257,232
please,1112,5,254,214
real,430,5,251,242
love,614,5,248,242
code,623,5,242,225
awesome,351,5,237,235
apps,999,5,235,223
...,375,5,213,165
have,2167,5,211,188
give,1166,5,206,195
great,1893,5,206,200
payment,269,5,203,190
frizza,364,5,202,180
get,2853,5,196,171
like,582,5,189,182
hai,163,5,186,137
use,1351,5,167,155
its,968,5,166,153
more,1528,5,154,130
nyc,7,5,153,153
paytm,401,5,150,146
amazing,181,5,148,145
that,2086,5,147,128
thanks,432,5,146,125
time,589,5,141,129
osm,6,5,138,137
excellent,20,5,134,134
one,75,5,132,126
got,329,5,127,122
thank,824,5,119,110
download,114,5,118,108
game,1254,5,115,84
can,2628,5,114,97
are,2770,5,106,87
wow,1,5,103,102
your,2028,5,102,82
rupees,72,5,102,98
easy,575,5,101,98
all,1747,5,99,87
much,672,5,99,98
n't,792,5,97,82
some,1114,5,96,91
problem,634,5,95,87
will,1156,5,95,82
transfer,277,5,95,88
from,429,5,95,91
superb,28,5,95,94
with,1554,5,90,79
....,116,5,88,77
try,159,5,88,77
cash,663,5,87,81
withdraw,35,5,85,80
just,573,5,82,79
was,960,5,82,68
working,21,5,82,81
mast,1,5,81,81
after,284,5,81,75
apk,9,5,80,75
100,43,5,78,76
gives,223,5,77,77
useful,229,5,77,77
offers,453,5,73,66
work,268,5,72,68
hours,44,5,67,64
install,199,5,66,61
fake,170,5,66,63
days,196,5,64,64
video,619,5,63,57
cool,537,5,62,61
nic,1,5,61,61
first,81,5,60,56
redeem,488,5,60,57
now,187,5,60,59
refer,827,5,59,54
what,355,5,58,54
earnings,6,5,56,56
fantastic,6,5,56,56
received,11,5,56,56
referral,43,5,56,53
happy,24,5,56,55
plz,11,5,56,54
day,150,5,55,52
help,1916,5,54,45
wonderful,159,5,54,54
only,168,5,53,51
free,480,5,52,50
ever,12,5,52,52
earned,5,5,50,49
gud,0,5,50,50
make,984,5,50,42
they,438,5,48,39
fast,86,5,48,45
reward,109,5,47,42
new,847,5,46,45
better,238,5,46,43
any,123,5,46,42
task,31,5,46,41
when,725,5,46,44
play,14,5,46,40
nahi,29,5,45,37
because,985,5,45,43
wallet,80,5,45,39
sir,40,5,45,38
giving,644,5,45,44
amount,334,5,45,36
bad,16,5,44,42
lot,1221,5,44,35
there,1586,5,44,39
offer,39,5,43,38
trusted,6,5,43,43
experience,104,5,41,41
send,55,5,41,40
account,72,5,40,40
many,33,5,40,39
appp,16,5,39,39
paise,34,5,38,34
true,409,5,37,35
solve,118,5,37,36
making,278,5,37,37
than,523,5,37,37
easily,180,5,36,33
bhi,10,5,36,24
also,614,5,35,34
raha,70,5,35,28
loved,5,5,34,34
withdrawal,7,5,34,29
has,1002,5,34,28
.....,25,5,34,31
full,6,5,34,34
online,544,5,34,33
genuine,46,5,34,34
know,13,5,33,27
add,316,5,33,30
want,137,5,33,32
nhi,25,5,32,23
too,23,5,32,29
star,564,5,31,31
watch,762,5,31,29
most,6,5,31,31
team,218,5,31,26
take,69,5,31,29
pls,5,5,31,26
daily,121,5,30,27
games,743,5,29,27
then,40,5,29,28
supper,1,5,29,29
bhai,1,5,29,29
supar,1,5,29,29
world,417,5,29,29
30rs,7,5,29,29
absolutely,541,5,29,25
friends,360,5,28,26
within,42,5,28,28
well,91,5,28,26
mst,0,5,28,28
about,16,5,28,24
paisa,8,5,27,24
way,44,5,27,27
refferal,262,5,27,25
beautiful,0,5,27,27
yes,0,5,27,25
must,9,5,27,26
slow,242,5,27,26
kar,8,5,26,22
used,18,5,26,25
instant,8,5,26,26
guys,5,5,26,24
using,11,5,25,24
getting,599,5,25,25
been,742,5,25,21
bahut,4,5,24,22
level,1545,5,24,14
think,139,5,24,23
pay,38,5,24,24
which,854,5,23,22
......,12,5,23,21
why,145,5,23,23
times,9,5,23,23
say,118,5,23,22
fix,50,5,23,22
kya,26,5,23,22
how,0,5,23,22
interesting,16,5,22,22
thing,217,5,22,21
hello,2,5,22,21
again,289,5,22,18
mujhe,5,5,22,17
videos,19,5,22,19
late,7,5,22,22
watching,259,5,22,22
rewards,22,5,22,22
erning,1,5,22,21
number,350,5,22,18
other,246,5,21,21
mera,3,5,21,18
usefull,1,5,21,21
email,17,5,20,17
god,0,5,20,19
mony,74,5,20,20
income,0,5,20,19
referal,0,5,20,20
fun,1093,5,20,15
bro,0,5,20,17
increase,474,5,20,19
complete,171,5,20,19
realy,2,5,20,20
hour,22,5,20,19
should,132,5,20,18
need,15,5,19,18
helpful,2,5,19,19
dont,14,5,19,19
trust,22,5,19,19
gave,18,5,19,18
successfully,17,5,19,19
did,7,5,19,17
see,25,5,19,19
keep,346,5,19,19
issue,25,5,18,18
rha,14,5,18,12
fire,0,5,18,17
minimum,82,5,18,16
show,28,5,18,17
kiya,0,5,18,11
works,523,5,18,17
transaction,32,5,18,18
open,84,5,17,15
karo,0,5,17,15
tasks,24,5,17,17
job,468,5,17,17
friend,0,5,17,16
awsome,2,5,17,17
refral,0,5,17,16
balance,16,5,16,14
less,45,5,16,16
paid,125,5,16,14
completed,6,5,16,15
out,326,5,16,16
long,268,5,16,16
simple,20,5,16,15
earing,0,5,16,16
low,59,5,16,16
seen,2,5,16,16
lovely,0,5,16,16
hope,223,5,16,15
pays,21,5,16,13
people,7,5,16,15
going,539,5,15,15
does,16,5,15,15
two,0,5,15,15
transferred,17,5,15,14
every,3,5,15,15
given,59,5,15,14
stars,291,5,15,14
enjoy,541,5,15,15
par,0,5,15,13
through,17,5,15,15
few,31,5,15,15
kumar,0,5,15,15
tha,1,5,15,14
since,6,5,15,15
recommend,168,5,15,15
little,63,5,15,15
home,7,5,14,8
still,25,5,14,14
top,0,5,14,14
mobile,31,5,14,11
able,69,5,14,14
everyone,481,5,14,12
installing,38,5,14,14
per,118,5,14,13
today,16,5,14,14
phone,1,5,14,10
mere,0,5,14,14
awsm,1,5,14,14
same,1,5,14,13
promo,25,5,14,14
verry,0,5,14,12
perfect,24,5,14,12
receive,3,5,14,14
log,2,5,14,13
done,3,5,14,14
who,190,5,14,12
200,3,5,13,13
big,6,5,13,13
service,1,5,13,13
would,29,5,13,11
takes,165,5,13,13
request,266,5,13,13
month,29,5,13,13
mind,0,5,13,13
such,87,5,13,13
fine,31,5,13,13
blowing,1,5,13,13
maine,0,5,12,12
fabulous,3,5,12,12
've,1,5,12,11
completing,17,5,12,12
sometimes,344,5,12,11
tried,505,5,12,9
sure,473,5,12,11
credit,6,5,12,11
self,0,5,12,12
join,556,5,12,12
bar,535,5,12,9
gjb,35,5,12,12
vary,0,5,12,12
amezing,0,5,12,12
aur,0,5,12,10
bit,4,5,12,10
playing,362,5,12,12
these,463,5,12,10
reedem,8,5,12,10
provide,56,5,12,11
had,15,5,12,11
diya,0,5,11,7
others,24,5,11,9
cod,0,5,11,11
reply,3,5,11,10
